"KODEPILKADA","KDWIL","JENISPILKADA","TAHUN PILKADA","BPSKDPROV","PROVINSI","BPSKDKAB","KAB_KOT","NCALON","NO","CALON KEPALA DAERAH","JENIS KELAMIN1","CALON WAKIL KEPALA DAERAH","JENIS KELAMIN2","SUARA FINAL","PCTSUARA","RANKING","MENANG","INCUMBENT","WAKIL INCUMBENT","PARTAI PENDUKUNG","MAJU LEWAT","KURSIPARTAI","PCTKURSI","PDIP","GOLKAR","GERINDRA","DEMOKRAT","PKB","NASDEM","PAN","PKS","PPP","HANURA","PBB","PKPI","PERINDO","BERKARYA","PSI","GARUDA","UMMAT","GELORA","BURUH","PKN","PKNU","PMB","PPDI","PARTAI ACEH (PA)","PARTAI NANGGROE ACEH (PNA)","PARTAI NASIONAL ACEH","PARTAI DARUL ACEH (PD ACEH)","PARTAI SIRA","PARTAI GENERASI ATJEH BEUSABOH THAAT DAN TAQWA","PARTAI ADIL SEJAHTERA ACEH","PARTAI DAMAI ACEH (PDA)","T1","T2","T3","T4","T5","PE2013","PE2014","PE2015","PE2016","PE2017","PE2018","PE2019","PE2020","PE2021","PE2022","INCUMBENTXT5","","","","",""
"PROV-16-1-2018","16","Gubernur","2018","16","SUMATERA SELATAN","","","4","2","H. Saifudin Aswari Riva'i, S.E","L","H.M. Irwansyah, S.Sos, M.Si","L","442820","11.419873912543","4","0","0","0","Gerindra dan PKS","PARTAI","15","20","0","0","10","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.79","4.42","5.04","5.51","6.01","5.31","4.79","4.42","5.04","5.51","6.01","5.69","-0.11","3.58","5.23","0","","","","KAB-1173-1-2017","25"
"PROV-16-1-2018","16","Gubernur","2018","16","SUMATERA SELATAN","","","4","3","Ir. H. Ishak Mekki, MM","L","Yudha Pratomo, M.Sc. Ph.D","L","839743","21.656111239196","3","0","0","0","PPP, Demokrat, PBB","PARTAI","15","20","0","0","0","11","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.79","4.42","5.04","5.51","6.01","5.31","4.79","4.42","5.04","5.51","6.01","5.69","-0.11","3.58","5.23","0","","","","KAB-1174-1-2017","25"
"PROV-16-1-2018","16","Gubernur","2018","16","SUMATERA SELATAN","","","4","4","H. Dodi Reza Alex Noerdin, Lic, Econ. MBA","L","H.M Giri Ramanda N. Kiemas SE, MM","L","1200625","30.962888117627","2","0","0","0","Golkar, PDIP, PKB","PARTAI","29","38.666666666667","13","10","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.79","4.42","5.04","5.51","6.01","5.31","4.79","4.42","5.04","5.51","6.01","5.69","-0.11","3.58","5.23","0","","","","KAB-1175-1-2018","20"
"PROV-17-1-2020","17","Gubernur","2020","17","BENGKULU","","","3","1","Helmi Hasan","L","H. Muslihan Diding Soetrisno","L","328364","32.358784343096","2","0","0","0","PAN, Nasdem, Hanura","PARTAI","10","22.222222222222","0","0","0","0","0","5","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.28","4.98","4.97","4.94","-0.02","6.07","5.48","5.13","5.28","4.98","4.97","4.94","-0.02","3.27","4.31","-0","","","","KAB-1201-1-2020","21"
"PROV-17-1-2020","17","Gubernur","2020","17","BENGKULU","","","3","2","Dr. H. Rohidin Mersyah, M.M.","L","Dr.E. H. Rosjonsyah, S.IP, M.Si.","L","418080","41.199889629075","1","1","1","0","Golkar, PKS, PDIP, PPP, Demokrat","PARTAI","23","51.111111111111","7","7","0","5","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.28","4.98","4.97","4.94","-0.02","6.07","5.48","5.13","5.28","4.98","4.97","4.94","-0.02","3.27","4.31","-0.02","","","","KAB-1202-1-2020","40"
"PROV-17-1-2020","17","Gubernur","2020","17","BENGKULU","","","3","3","Agusrin Maryono","L","Dr. Ir. H. M. Imron Rosyadi, M.M., M.Si.","L","268316","26.441326027829","3","0","0","0","Gerindra, PKB, Perindo","PARTAI","12","26.666666666667","0","0","6","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.28","4.98","4.97","4.94","-0.02","6.07","5.48","5.13","5.28","4.98","4.97","4.94","-0.02","3.27","4.31","-0","","","","KAB-1203-1-2020","35"
"PROV-18-1-2018","18","Gubernur","2018","18","LAMPUNG","","","4","1","H. Muhammad Ridho Ficardo, M.Si","L","Bachtiar Basri, SH., MM","L","1043666","25.459788957649","3","0","1","1","Demokrat, Gerindra dan PPP","PARTAI","25","29.411764705882","0","0","10","10","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.08","5.13","5.14","5.16","5.23","5.77","5.08","5.13","5.14","5.16","5.23","5.26","-1.66","2.77","4.28","5.23","","","","KAB-1204-1-2017","28"
"PROV-18-1-2018","18","Gubernur","2018","18","LAMPUNG","","","4","2","Drs. H. Herman Hasanusi, MM","L","Ir. Sutono, MM","L","1054646","25.727641395838","2","0","0","0","PDIP","PARTAI","17","20","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.08","5.13","5.14","5.16","5.23","5.77","5.08","5.13","5.14","5.16","5.23","5.26","-1.66","2.77","4.28","0","","","","KAB-1205-1-2018","35"
"PROV-18-1-2018","18","Gubernur","2018","18","LAMPUNG","","","4","3","Ir. H. Arinal Djunaidi","L","Hj. Chusnunia, Ph.D","P","1548506","37.775146416242","1","1","0","0","Golkar, PKB, dan PAN","PARTAI","25","29.411764705882","0","10","0","0","7","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.08","5.13","5.14","5.16","5.23","5.77","5.08","5.13","5.14","5.16","5.23","5.26","-1.66","2.77","4.28","0","","","","KAB-1206-1-2020","28"
"PROV-18-1-2018","18","Gubernur","2018","18","LAMPUNG","","","4","4","Dr. H. Mustafa","L","H. Ahmad Jajuli SIP., M.Si","L","452454","11.037423230271","4","0","0","0","Nasdem, PKS dan Hanura","PARTAI","18","21.176470588235","0","0","0","0","0","8","0","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.08","5.13","5.14","5.16","5.23","5.77","5.08","5.13","5.14","5.16","5.23","5.26","-1.66","2.77","4.28","0","","","","KAB-1207-1-2020","44"
